code,name,region,population,area,land,sea,ocean,density,bounds_ne_lat_google_2015_05_28,bounds_ne_lng_google_2015_05_28,bounds_sw_lat_google_2015_05_28,bounds_sw_lng_google_2015_05_28,location_lat_google_2015_05_28,location_lng_google_2015_05_28
2161,Ljusdals kommun,Gävleborgs län,19067,5609.79,5256.37,353.42,0.00,3.63,61.83405798,16.10187718,61.83136002,16.09917922,61.832709,16.1005282
2180,Gävle kommun,Gävleborgs län,99788,3200.42,1613.84,169.15,1417.27,61.83,60.74116,17.3043159,60.634524,17.0749891,60.6748796,17.1412726
2181,Sandvikens kommun,Gävleborgs län,38949,1296.64,1165.78,130.86,0.00,33.41,60.62296698,16.77808018,60.62026902,16.77538222,60.621618,16.7767312
2182,Söderhamns kommun,Gävleborgs län,25992,2281.34,1060.85,110.98,1109.51,24.50,61.30614398,17.05387498,61.30344602,17.05117702,61.304795,17.052526
2183,Bollnäs kommun,Gävleborgs län,26929,1976.64,1814.04,162.60,0.00,14.84,61.377742,16.4424279,61.322606,16.3288508,61.3483795,16.3942685
2184,Hudiksvalls kommun,Gävleborgs län,37299,4516.74,2489.05,255.65,1771.92,14.99,61.763567,17.1896928,61.6976729,17.0631818,61.7273909,17.107401
2260,Ånge kommun,Västernorrlands län,9495,3295.61,3050.26,245.35,0.00,3.11,62.5332519,15.6950731,62.5126291,15.6144858,62.5228738,15.6589419
2262,Timrå kommun,Västernorrlands län,17992,1234.31,783.26,39.45,411.45,22.97,62.524969,17.4205651,62.469055,17.2738009,62.4854563,17.3248651
2280,Härnösands kommun,Västernorrlands län,25269,1938.61,1058.32,42.64,837.62,23.88,62.63178888,17.94516378,62.62909092,17.94246582,62.6304399,17.9438148
2281,Sundsvalls kommun,Västernorrlands län,98325,4444.61,3189.71,262.58,992.24,30.83,62.4667477,17.3972672,62.324918,17.1873897,62.390811,17.306927
2282,Kramfors kommun,Västernorrlands län,18681,2892.57,1694.65,90.41,1107.53,11.02,62.9440551,17.8398661,62.911079,17.7247079,62.9284332,17.7862947
2283,Sollefteå kommun,Västernorrlands län,19846,5761.82,5396.48,365.34,0.00,3.68,63.186344,17.3297261,63.147983,17.206697,63.1654065,17.277135
2284,Örnsköldsviks kommun,Västernorrlands län,55964,8429.04,6376.05,363.09,1689.85,8.78,63.326957,18.7993949,63.239483,18.5708369,63.2900474,18.7166166
